Item,Quantity_Sales,Amount_Sales,Quantity_Purchases,Amount_Purchases
RUSK 500G,244.0,23375.0,205,"17,425.00"
SAMOSA,64.0,960.0,65,845
SANTHIGITI PAPPATAM,1.0,30.0,0,0
SAPPHIRE TRUFFLE,1.0,380.0,0,0
SHARJAH SHAKE,32.0,2080.0,0,0
SIPUP 1NO,2.0,10.0,0,0
SLICE MANGO,34.0,340.0,0,0
SMOODH HAZELNUT TP 85ML,14.0,140.0,10,88
SODA 1NO,1.0,10.0,0,0
SODA LIME,61.0,1220.0,0,0
SPANISH DELIGHT ICE CREAM SHAKE,5.0,450.0,0,0
SPRITE 1LTR,3.0,165.0,12,538.08
SRA MIXFRUIT JUICE,1.0,35.0,0,0
STING 250ML CAN,2.0,70.0,0,0
SUGAR LESS RUSK 500G,21.0,1890.0,21,"1,890.00"
SUNFEAST ARROWROOT,2.0,60.0,6,152.34
SUNFEAST BOUNCE ELADHI,4.0,40.0,0,0
SUNFEAST DARK FANTACY CHOCO FILL,3.0,225.0,6,401.7
SUNFEAST MARIE LIGHT OATSFIBRE 20,3.0,90.0,6,157.44
SUNFEAST MARIE LIGHT ORANGE,2.0,50.0,6,78.78
SUNFEAST MOMS MAGIC CASHEW & ALM,9.0,450.0,0,0
SUNFEAST MOMS MAGIC CASHEW/ALMO,12.0,1560.0,15,"1,254.60"
SUNFEAST MOMS MAGIC FRUIT & MILK,5.0,250.0,0,0
SWEET NAN,17.0,306.0,18,270
SWEET PUFS,7.0,140.0,7,126
TASTY CUP CAKKE CHOCOLATE 140G(6,4.0,200.0,0,0
TEA,67.0,1005.0,0,0
TEA BISCUITS 250G,20.0,1100.0,22,990
TEA BISCUITS 500G,85.0,9350.0,80,"8,640.00"
TEA RUSK 250G,27.0,2700.0,22,"2,090.00"
THAKKOLAM 1KG,0.01,10.0,0,0
TIC TAC,14.0,210.0,0,0
TISSUE PAPER BIG ROYAL,3.0,90.0,0,0
TOMATO MURUKKU,2.05,717.5,0,0
TOO YUMM WAFERS CLASSIC SALTED,1.0,30.0,0,0
TROPICANA CRANBERRY,2.0,236.0,2,212.68
TROPICANA MIXED FRUIT,5.0,100.0,20,333.4
TROPICANA ORANGE,1.0,20.0,20,333.4
TROPICANA PINEAPPLE,2.0,40.0,0,0
TROPICANA POMEGRANTE,1.0,20.0,20,333.4
ULLIVADA 1NO,16.0,186.0,15,150
UNCLE JOHN BALL  ICE 1 PCS,3.0,30.0,0,0
UNIBIC CHOCO CHIP 150G,2.0,110.0,3,150
UNIBIC CHOCO NUTS,1.0,55.0,3,150
UNIBIC DIGESTIVE COOKIES BUY ONE G,9.0,450.0,0,0
UNIBIC FRUIT & NUTS 150G,4.0,220.0,3,150
UNIBIC SNAPPERS CRM & ONION,2.0,150.0,0,0
UNIBIC SNAPPERS INDI SPICE,1.0,75.0,0,0
UNIBIC WAFFERS CREAMY CHEESS,2.0,115.0,12,576
UNIBIC WAFFERS CREAMY CHOCO,3.0,165.0,8,383.92
UNNIMADURAM 200G,5.0,250.0,0,0
UNNIYAPPAM 1NO,5.0,60.0,0,0
UZHUNNUVADA 1NO,144.0,1728.0,170,"1,700.00"
VADA,6.0,72.0,0,0
VANILLA ICE CREAM SHAKE,5.0,400.0,0,0
VATTAYAPPAM 1 NO,3.0,240.0,0,0
WINKIES SLICED FRUITICAKE,1.0,30.0,0,0
WINKIES SWISS ROLL CHOCO VANILA,5.0,50.0,15,134.1
YIPPE SAUCY MASALA,2.0,150.0,6,409.92
ACT II GOLDEN SIZZLE 30G,3.0,30.0,0,0
MALABAR IDIYIRACHI 250G,1.0,560.0,0,0
PUTHUMAS DATES WITH NUT 350G,1.0,270.0,0,0
BOUNTY 2X 28.5G,3.0,90.0,15,398.25
IMPORTED PRINGLES,2.0,440.0,0,0
ENJOY COCONUT BALLS 6 PCS,6.0,295.0,10,400
"MALABAR""S HONEY BALLS 20NOS.",3.0,90.0,0,0
KK SUPER COFFEE 250G,3.0,320.0,0,0
AMERICAN GARDEN U.S PEANUT BUTTE,1.0,199.0,0,0
MALANADU PASSION FRUIT SQUASH,1.0,280.0,0,0
CADBARY CHOCOBAKES COOKIES 75G,2.0,70.0,0,0
CADBURY CHOCOBAKES COOKIES 75G,7.0,275.0,6,190.86
CADBURY SILK MOUSSE 130G,1.0,185.0,0,0
CADBARY DAIRY MILK LICKABLES,4.0,180.0,0,0
CADBURY DAIRY MILK LICKABLES,2.0,90.0,11,401.83
CADBURY BOURNVITA BISCUIT 120G,12.0,420.0,25,729.25
CADBURY OREO VANILA,25.0,250.0,0,0
CADBARY DAIRY MILK MAHA PACK 52G,4.0,160.0,0,0
CADBURY DAIRY MILK MAHA PACK 52G,50.0,2000.0,30,"1,071.60"
CADBURY OREO CHOCOLATE 120G,4.0,130.0,0,0
CADBARY OREO CHOCOLATEY SANDWI,1.0,85.0,0,0
CADBURY OREO CHOCOLATEY SANDWI,3.0,255.0,0,0
CADBURY 5 STAR 20.5G,10.0,100.0,0,0
TANG ORANGE 500G,3.0,450.0,6,793.62
TANG ORANGE 750G,2.0,500.0,3,681.81
CADBARY BOURNVITA PACK 500G,1.0,228.0,0,0
CADBURY CHOCOBAKE 150G,2.0,140.0,0,0
TANG MANGO 75G,1.0,30.0,0,0
TANG ORANGE 75G,7.0,210.0,24,654.48
CADBARY GEMS 7.9G,36.0,180.0,0,0
CADBURY GEMS 7.9G,99.0,495.0,0,0
KINDER JOY NATOONS,3.0,135.0,0,0
NUTELLA FERRERO 350ML,1.0,380.0,0,0
NUTELLA FERRERO 180G,1.0,280.0,16,"3,003.84"
KINDER JOY GIRLS 20G,20.0,900.0,96,"3,772.80"
KINDER CREAMY 19G,4.0,100.0,0,0
KINDER JOY BOYS 20G,66.0,2970.0,96,"3,763.20"
PRAN POTATA SPICY BISCUIT 100G,96.0,2400.0,24,492
KELLOGGS PRINGLES SOUR 1+1,5.0,500.0,12,600.12
PRINGLES POTATO CHIPS (RED)110G,5.0,575.0,4,418.16
PRINGLES POTATO CHIPS (GREEN) 110G,15.0,1725.0,12,"1,254.48"
KELLOGGS PRINGLES FUSION,3.0,345.0,0,0
PRINGLES POTATO CHIPS(ORANGE),1.0,115.0,0,0
KITKAT 18G,4.0,80.0,30,545.4
POLO 1NO,10.0,50.0,0,0
MUNCH 1NO,128.0,640.0,864,"3,758.40"
MAGGI TOMATO SAUCE 200G,2.0,142.0,0,0
BRU INSTANT(PACK)50G,5.0,525.0,16,"1,570.08"
BROOKE BOND 3 ROSES PAC 250G,1.0,220.0,0,0
BROOKE BOND RED LABLE DUST 250G,2.0,160.0,8,536.08
KNORR CHICKEN SOUP 40G,1.0,60.0,0,0
KNORR CHICKEN DELITE SOUP 8901030518225,1.0,60.0,0,0
BRU INSTANT 100G 8901030656927,1.0,210.0,0,0
BRU INSTANT 2.2G 8901030733994,1270.0,2540.0,0,0
BRU INSTANT 5.5G 8901030734014,155.0,775.0,0,0
BRU INSTANT 11.9 8901030783029,25.0,250.0,0,0
HORLICKS CLASSIC MALT 500G 8901030807176,1.0,294.0,0,0
BOOST BOTTLE 200G 8901030817182,1.0,139.0,0,0
BOOST BOTTLE 500G 8901030818660,2.0,590.0,0,0
BOOST PAC 200G 8901030818806,1.0,99.0,0,0
BRU SUPER STRONG 200G 8901030819643,47.0,9140.0,0,0
HORLICKS JUNIOR VANILLA PAC 500G 8901030820045,1.0,215.0,0,0
HORLICKS BISCUITS 300G 8901030823503,9.0,500.0,0,0
HORLICKS CLASSIC MALT 20G 8901030824128,55.0,275.0,0,0
BOOST 17G 8901030824227,253.0,1265.0,0,0
KNORR MIXED VEGETABLE SOUP 8901030824739,3.0,180.0,0,0
KNORR ITALIAN MUSHROOM 8901030824784,6.0,420.0,0,0
KANAN DEVAN TEA 100G 8901052031269,2.0,66.0,0,0
KANAN DEVAN TEA 250G 8901052031368,1.0,80.0,0,0
MAGGI MASALA NOODLES 140G 8901058851304,6.0,168.0,0,0
MUNCH 8901058862768,34.0,340.0,0,0
NESTLE LACTOGEN 400G 1 8901058865318,2.0,830.0,0,0
MAGGI CHICKEN NOODLES 284G 8901058867992,30.0,2256.0,0,0
NESTLE EVERYDAY 200G 8901058869385,6.0,696.0,0,0
KITKAT 12.8G 8901058873412,94.0,940.0,0,0
MAGGI CHICKEN NOODLES 142G 8901058890969,11.0,396.0,0,0
MAGGI MASALA NOODLES 70G 8901058891416,8.0,112.0,0,0
NESTLE NAN PRO 3 8901058894141,2.0,1525.0,0,0
NESTLE CERELAC MULTIGRAIN & FRUIT 8901058894523,1.0,297.0,0,0
NESTLE LACTOGEN 400G 2 8901058894523,2.0,815.0,0,0
NESTLE MILKYBAR 24.5 8901058897159,4.0,80.0,0,0
NESTLE CERELAC MUL FRU 12-24 MONTH 8901058898088,4.0,1224.0,0,0
NESTLE EVERYDAY 400G 8901058899344,10.0,2220.0,0,0
MAGGI MASALA NOODLES 420G 8901058900859,15.0,1256.0,0,0
KITKAT 38.5G 8901058903164,5.0,150.0,0,0
BRITANNIA NUTRI CHOICE GRAIN 200G 8901063001022,2.0,150.0,0,0
BRITANNIA GOOD DAY CHOCOCHIP COOK 8901063004146,6.0,360.0,0,0
