Sl,Item,Quantity,Amount
377,BRITANNIA TOASTEA RUSK 300G,83,"4,150.00"
378,BRITANNIA CAKE GOBBLES CHOCO 115,28,840
379,BRITANNIA  GOBBLES FRUITY 110G,9,270
380,BRITANNIA BISCAFE,14,420
381,BRITANNIA CAKE MARBLE CAKE 110G,1,30
382,BRITANNIA GOBBLES MARBLE CAKE RE,19,570
383,LOLLIPUP 1PAC,1,10
384,MALKIST CHEES 50RS,4,200
385,LOTTE CHOCO PIE 450G,1,180
386,LOTTE COFFY BITE 190 G,1,50
387,LOTTE  LACTO KING 440G,4,400
388,MALKIST CHOCO 50RS,4,200
389,CADBURY 5 STAR 10.1G,44,220
390,CADBURY CHOCLAIRS COFFEE 196G,4,200
391,GEMS 21.36G,4,40
392,CADBURY PERK 13G,4,20
393,CADBURY OREO VANILLA 120G,40,"1,400.00"
394,CADBURY OREO CHOCOLATE  120G,19,665
395,CADBURY DAIRY MILK ROAST ALMOND,4,180
396,CADBURY DAIRY MILK SHOTS,3,30
397,CADBURY DAIRY MILK CHOCO 6.3G,66,330
398,CADBURY DAIRY MILK CHOCO 12.5G,224,"2,240.00"
399,CADBURY DAIRY MILK SILK BUBBLY 50,10,850
400,CADBURY SILK OREO RED VELVET 50G,3,255
401,AMUL BUTTER 100G,37,"2,072.00"
402,AMUL CHEESE 200G,8,"1,120.00"
403,AMULYA DAIRY WHITENER 1KG,1,455
404,AMULYA DAIRY WHITENER 500G,1,235
405,AMUL MITHAIMATE 400G,3,348
406,AMUL CHOCOBAR PROBITIC FOLD,4,100
407,AMUL BUTTERSCOTCH CONE 1PIC,52,"1,820.00"
408,AMUL CHOCOLATE COOKIES,1,80
409,EASTERN CHICKEN MASALA 100G,2,100
410,EASTERN MEAT MASALA 100G,1,49
411,EASTERN KASHMIRI CHILLI 100G,1,73
412,EASTERN CHILLI PODI 250G,2,221
413,LAYS CREAM & ONION 115G,3,150
414,LAYS TOMATO TANGO 115G,1,50
415,LAYS TOMATO TANGO 73G,36,"1,080.00"
416,LAYS MAGIC MASALA 73G,2,60
417,LAYS CREAAM & ONION 73G,34,"1,020.00"
418,KURKURE MASALA MUNCH 85G,37,740
419,KURKURE CHHILLI CHATKA,5,100
420,LAYS CREAM & ONION 50G,70,"1,400.00"
421,LAYS TOMATO TANGO 50G,42,840
422,KURKURE GREEN CHUTNEY STYLE 94G,14,280
423,LAYS HOT & SWEET,37,370
424,KURKURE NAUGHTY TOMATO  85G,41,820
425,QUAKER OATS PAC 400G,12,948
426,QUAKER OATS PAC 1KG,1,199
427,CHEETOS CHEESE BALLS,3,30
428,KURKURE MASALA MUNCH,14,140
429,KURKURE CHILLI CHATKA,25,250
430,KURKURE PUFFCORN YUMMY CHEESE 6,6,120
431,LAYS CREAM & ONION 24G,50,500
432,LAYS TOMATO TANGO 24G,37,370
433,LAYS HOT N SWEET CHILLI 50G,39,765
434,QUAKER OATS PAC 600G,8,952
435,FRU MIXED FRUIT JAM 1KG,1,170
436,FRU PASSION FRUIT SEED SQUASH 700M,1,175
437,BAKERS COCO POWDER 100G 8901493092676,2,130
438,FRU PINEAPPLE JAM 200G 8901493310121,1,50
439,FRU MIXED FRUIT JAM 100G 8901493310213,1,25
440,FRU MIXED FRUIT JAM 200G 8901493310220,7,350
441,FRU PINEAPPLE SQUASH 700ML 8901493320151,1,100
442,KELLOGGS CORN FLAKES 475G 8901499007971,1,205
443,KELLOGGS CORN FLAKES STRAWBEARY 5 8901499008688,1,170
444,KELLOGGS CHOCOS  CHHOTA LADDOO 2 8901499009500,3,30
445,KELLOGGS CHOCOS MOON STAR 375G 8901499010773,1,199
446,ACT-II-CLASSIC SALTED 40G 8901512540102,5,50
447,ACT-II-MAGIC BUTTER 30G 8901512540805,24,240
448,PARLE MAGIX ORANGE 91.2G 8901719103650,3,30
449,PARLE MAGIX CHOCOLATE 91.2G 8901719103674,5,50
450,PARLE HIDE AND SEEK 100G 8901719105913,13,390
451,PARLE FAB JAM 8901719107320,3,30
452,PARLE 20-20 BUTTER COOKIES  150G 8901719109867,18,450
453,PARLE MONACO CLASSIC REGULAR 200G 8901719110993,15,600
454,PARLE HIDE & SEEK BLACK BOURBONE 8901719112485,4,120
455,CADBURY OREO STRAWBERRY 120G 8901719115615,28,980
456,PARLE HIDE & SEEK CHOCO CREME 8901719115639,77,"2,310.00"
457,PARLE HIDE AND SEEK 200G 8901719117220,40,"2,400.00"
458,POPPINS 1NO 8901719117220,1,2
459,PARLE-G 100G 8901719119194,45,450
460,PARLE 20-20 CASHEW COOKIES 200G 8901719120510,13,455
461,PARLE KRACK JACK 200G 8901719120732,20,800
462,PARLE KRACK JACK 63G+18.9 EXTRA 8901719120961,9,90
463,PARLE-G 200G 8901719121838,101,"2,525.00"
464,PARLE-G 800G 8901719121852,12,"1,080.00"
465,PARLE  COCONUT 8901719122040,6,120
