Sl,Item,Quantity,Amount
422,BRITANNIA NUTRI CHOICE GRAIN 200G 8901063001022,2,150
423,BRITANNIA GOOD DAY CHOCOCHIP COOK 8901063004146,6,360
424,BRITANNIA MILK BIKIS 300G 8901063012332,6,330
425,BRITANNIA VITA MARIE GOLD BIS 300G 8901063014152,5,225
426,BRITANNIA 50-50 SSWEET & SALT 150G 8901063016606,45,1350
427,BRITANNIA 50-50 SWEET AND SALTY 200 8901063016613,101,3535
428,BRITANNIA 50-50 MASKA CHASKA 120G 8901063017221,7,210
429,BRITANNIA 50-50 GOLMAAL 8901063017719,1,20
430,BRITANNIA 50-50 TIME PASS 150G 8901063018297,16,400
431,BRITANNIA MARIE GOLD 250G 8901063023901,11,440
432,BRITANNIA NUTRI CHOICE CRACKER 300 8901063026162,52,2600
433,BRITANNIA NICE TIME SUGAR SHOWERE 8901063028166,12,300
434,BRITAANNIA NICE TIME 8901063028210,3,30
435,BRITANNIA TREAT CROISSANT COCOA 4 8901063031920,1,20
436,BRITANNIA TREAT CROISSANT VANILLA 8901063031937,3,60
437,BRITANNIA TREAT BURST 120G,2,80
438,BRITANNIA MILK BIKIS CREAM 200G,7,350
439,BRITANNIA MILK BIKIS 55G,11,110
440,BRITANNIA MILK BIKIS 120G,7,210
441,BRITANNIA GOOD DAY CASHEW  200G,44,2200
442,BRITANNIA GOOD DAY PISTA,1,10
443,BRITANNIA GOOD DAY CASHEW FAMILY,7,910
444,BRITANNIA GOOD DAY 120G,2,50
445,BRITANNIA GOOD DAY PISTA BADAM 20,5,275
446,BRITANNIA THIN ARROWROOT BISCUIT,52,1820
447,BRITANNIA THIN ARROWROOT BISCUITS,125,6250
448,BRITANNIA BOUR BON 150G,16,640
449,BRITANNIA BOURBON 50G,7,70
450,BRITANNIA BOURBON 100G,14,350
451,BRITANNIA NUTRI CHOICE DIGESTIVE 2,1,70
452,BRITANNIA TIGER KRUNCH 72G,34,340
453,BRITANNIA TREAT CHOCO,14,140
454,BRITANNIA TIGER GLUCOSE 250G,8,200
455,BRITANNIA TIGER GLUCOSE 115G,19,190
456,BRITANNIA MILK RUSK 200G,1,35
457,BRITANNIA TOASTEA RUSK 300G,30,1500
458,BRITANNIA CAKE GOBBLES CHOCO 115,5,150
459,BRITANNIA  GOBBLES FRUITY 110G,1,30
460,MARBLE CAKE RED VELVET,1,30
461,BRITANNIA BISCAFE,12,360
462,BRITANNIA CAKE MARBLE CAKE 110G,1,30
463,BRITANNIA GOBBLES MARBLE CAKE RE,15,450
464,BRITANNIA DAIRY WHITENER 20G,2,20
465,HERSHEYS SPREADS COCOA 150G,1,170
466,LOLLIPUP 1PAC,3,15
467,LOTTE JELLY LOLY,1,10
468,MALKIST CHEES 50RS,9,450
469,LOTTE CHOCO PIE 450G,4,720
470,LOTTE COFFY BITE 190 G,2,100
471,LOTTE  LACTO KING 440G,5,500
472,MALKIST CHOCO 50RS,10,500
473,LOTTE CHOCO PIE 6 PIC 168G,4,330
474,CADBURY SHOTS 9G,25,125
475,GEMS 21.36G,42,420
476,CADBARY OREO VANILLA 120G,14,490
477,CADBURY DAIRY MILK CRACKLE,1,45
478,CADBURY OREO VANILLA 120G,37,1295
479,CADBARY OREO CHOCOLATE  120G,13,455
480,CADBURY OREO CHOCOLATE  120G,57,1995
481,CADBARY OREO STRAWBERRY 120G,8,245
482,CADBARY DAIRY MILK ROAST ALMOND,2,90
483,CADBURY DAIRY MILK SHOTS,2,20
484,CADBURY DAIRY MILK SLIK CHOCOLAT,3,510
485,CADBARY DAIRY MILK CHOCOLATE 13,1,100
486,CADBARY DAIRY MILK CHOCO 6.3G,2,10
487,CADBURY DAIRY MILK CHOCO 6.3G,70,350
488,CADBARY DAIRY MILK CHOCO 12.5G,38,380
489,CADBURY DAIRY MILK CHOCO 12.5G,294,2940
490,CADBURY DAIRY MILK CRISPELLO,3,90
491,CADBURY DAIRY MILK SILK BUBBLY 50,1,85
492,CADBARY SILK OREO RED VELVET 50G,4,320
493,AMUL BUTTER 100G,45,2492
494,AMUL BUTTER UNSALT 100G,1,55
495,AMUL CHEESE 200G,1,140
496,AMUL CHEESE 100 GM,1,78
497,AMULYA DAIRY WHITENER 1KG,2,860
498,AMULYA DAIRY WHITENER 500G,1,223
499,AMUL MITHAIMATE 200G,2,125
500,AMUL MITHAIMATE 400G,5,580
501,AMUL FRESH CREAM 250ML,6,390
502,AMUL BUTTERSCOTCH 2 LIT,2,650
503,AMUL VANILLA 1LIT,1,195
504,AMUL CHOCOBAR PROBITIC FOLD,22,460
505,AMUL BOMBAY KULFI 1PIC,3,75
506,AMUL BUTTERSCOTCH CONE 1PIC,19,665
507,EASTERN CHICKEN MASALA 100G,1,47
508,EASTERN MEAT MASALA 100G,2,96
509,EASTERN KASHMIRI CHILLI 100G,8,607
510,LAYS CREAM & ONION 115G,3,150
511,LAYS TOMATO TANGO 115G,2,100
512,LAYS CREAAM & ONION 73G,29,870
513,LAYS SIZZLIN  HOT 50G,1,20
514,KURKURE MASALA MUNCH 85G,10,200
515,LAYS CREAM & ONION 50G,48,960
516,LAYS TOMATO TANGO 50G,40,800
517,LAYS CLASSIC SALTED 50G,6,120
518,KURKURE GREEN CHUTNEY 47G,12,120
519,KURKURE GREEN CHUTNEY STYLE 94G,8,160
520,LAYS HOT & SWEET,52,520
521,CHEETOS MASALA BALLS 32G,2,20
522,KURKURE NAUGHTY TOMATO  85G,24,480
523,QUAKER OATS PAC 400G,11,869
524,QUAKER OATS PAC 1KG,6,1194
525,CHEETOS CHEESE BALLS,10,100
526,KURKURE MASALA MUNCH,7,70
527,KURKURE CHILLI CHATKA,12,120
528,LAYS  MAGIC MASALA 24G,1,10
529,LAYS CREAM & ONION 24G,171,1710
530,LAYS TOMATO TANGO 24G,81,810
531,LAYS HOT N SWEET CHILLI 50G,47,940
532,LAYS WAFER STYLE 50G,9,180
533,QUAKER OATS PAC 600G,16,1904
534,LAYS MAXX MACHO CHILLI 22.5G,6,60
535,FRU ORANGE SQUASH 700ML,1,110
536,FRU PASSION FRUIT SEED SQUASH 700M,3,525
537,FRU TOMATO SAUCE 200G,1,40
538,FRU TOMATO SAUCE 1KG,1,95
539,FRU SOYABEAN SAUCE 800G,1,86
540,FRU 8 TO 8 SAUCE 200G,1,38
541,FRU GRAPE SQUASH 700ML,3,360
542,FRU PINEAPPLE JAM 100G,14,322
543,FRU PINEAPPLE JAM 200G,37,1850
544,FRU MIXED FRUIT JAM 100G,7,161
545,FRU MIXED FRUIT JAM 200G,9,450
546,FRU PINEAPPLE SQUASH 700ML,5,500
547,FRU GREEN CHILLI SAUCE 200G,1,40
548,CORN FLAKES 100G,1,49
549,KELLOGGS CHOCOS  CHHOTA LADDOO 2,3,30
550,ACT-II-CLASSIC SALTED 40G,2,20
551,ACT-II-GOLDEN SIZZLE 41G,2,20
552,ACT-II-CHILY SUPRE 30G,7,84
553,ACT TOMATO CHILLI,1,25
554,ACT BUTTER,3,75
555,SANDROP PASTA WITH RED SAUCE,1,30
556,GLUCON-D REGULAR 100G,1,31
557,SUMERU GREEN PEAS 200G,1,65
558,PARLE HIDE AND SEEK 100G,33,990
559,PARLE 20-20 BUTTER COOKIES  150G,35,875
560,PARLE MONACO CLASSIC REGULAR 200G,11,440
561,PARLE HIDE & SEEK BLACK BOURBONE,2,60
562,CADBURY OREO STRAWBERRY 120G,5,175
563,PARLE HIDE & SEEK CHOCO CREME,54,1620
564,PARLE HIDE AND SEEK 200G,25,1500
565,PARLE-G 100G,47,470
566,PARLE 20-20 CASHEW COOKIES 200G,14,490
567,PARLE KRACK JACK 200G,37,1480
568,PARLE KRACK JACK 63G+18.9 EXTRA,5,50
569,PARLE-G 200G,59,1475
570,PARLE-G 800G,38,3420
571,PARLE  COCONUT,7,140
572,PARLE MILANO CHOCO HAZELNUT,2,80
573,PARLE MANGO BITE 289G,1,50
574,PARLE MELODY CHOCOLATE 195G,1,50
575,SUNFEAST MOMS MAGIC BUTTER FILLS,4,160
576,SUNFEAST MOMS MAGIC CASHEW FILLS,9,360
577,DARK FANTACY BOURBON 150G,16,640
578,SUNFEAST DARK FANTASY CHOCO FILLS,2,320
579,SUNFEAST BOUNCE DREAM CREME 120G,10,200
580,SUNFEAST BOUNCE STRAWBERRY DREA,21,420
581,SUNFEAST MOMS MAGIC CASH&ALMD,3,360
582,CANDYMAN FANTASTIK,10,50
583,BINGO CHIPS P OS,1,10
584,SUNFEAST DARK FANTASY CHOCO NUT F,10,400
